name,artist,id,danceability,energy,loudness,speechiness,acousticness,tempo,liveness,valence,mood
So Far Away,Surfaces,6cjrJbXoA0VscOXEPgLdYv,0.714,0.68,0.48283582089552246,0.132,0.149,160.021,0.098,0.672,1
Close Your Eyes,Felix Jaehn,7N06jo3EnV792VFaG8vuW6,0.818,0.823,0.7452238805970149,0.2,0.0663,128.136,0.133,0.52,1
Marvin Gaye (feat. Meghan Trainor),Charlie Puth,6ukMqDxnOPOgoHdak7Kyp3,0.795,0.616,0.48880597014925375,0.06,0.417,110.015,0.349,0.815,1
"L.O.V.E. (feat. EARTHGANG, Jon Batiste & Sherwyn)",Yung Bae,3h3szgXLd2FJ0WSWj8om9t,0.81,0.779,0.5555223880597016,0.0485,0.000308,111.054,0.23,0.641,1
Cloudy Day,Tones And I,0mA7zotmg2ZFMRALljdZsS,0.705,0.776,0.36716417910447763,0.0445,0.0643,116.011,0.0246,0.366,1
If You Really Love Me (How Will I Know),David Guetta,1V7bZ9gEIwFQpm8yGxRHNA,0.692,0.883,0.575820895522388,0.0582,0.0512,122.984,0.228,0.614,1
Blinding Lights,The Weeknd,0sf12qNH5qcw8qpgymFOqD,0.513,0.796,0.6688059701492538,0.0629,0.00147,171.017,0.0938,0.345,1
YES,BEN & TAN,1nAvS4GbkxR7iISU5ZfLPf,0.563,0.583,0.18716417910447758,0.031,0.00658,91.899,0.102,0.525,1
Say My Name,Dimitri Vegas & Like Mike,3GYlQmwfBDo7imFyGPhrl7,0.729,0.788,0.5558208955223881,0.0908,0.0703,118.039,0.115,0.857,1
Be Okay (with HRVY),R3HAB,4ztw0mBC6VBiLV79yRHDQW,0.73,0.558,0.30164179104477606,0.0786,0.0179,100.066,0.128,0.618,1
A-O-K,Tai Verdes,4CbrNGvwVjneG8Nk9YQqMR,0.731,0.626,0.24432835820895527,0.0805,0.125,82.488,0.183,0.862,1
Weekend Vibe,Jubël,5c0lWlmIyCq7hzBhpZasYL,0.688,0.742,0.3273134328358208,0.0496,0.00912,110.026,0.186,0.74,1
Sing It With Me,JP Cooper,60DwQiwwglVkTkTwDTTEId,0.54,0.793,0.6234328358208956,0.0493,0.0744,112.219,0.354,0.399,1
I Found You,Cash Cash,3wYOGJYD31sLRmBgCvWxa4,0.646,0.761,0.8953731343283583,0.0385,0.0714,129.916,0.222,0.472,1
Dive,Hot Shade,0Npijoc6ZcUe1devUugKvI,0.654,0.787,0.5308955223880598,0.0502,0.00515,123.978,0.144,0.409,1
I Don't Care (with Justin Bieber),Ed Sheeran,3HVWdVOQ0ZA45FuZGSfvns,0.798,0.675,0.5246268656716417,0.0442,0.0912,101.956,0.0894,0.842,1
Remember,Becky Hill,4laAKIq9ZxBCwf99rauPYb,0.612,0.862,0.8437313432835821,0.037,0.041,123.849,0.0907,0.354,1
You for Me,Sigala,73QyyUMMvtNELmULI4FOsp,0.733,0.886,1.0,0.0426,0.0481,126.031,0.191,0.696,1
Dancing in the Moonlight (feat. NEIMY),Jubël,5ow0sNF1zSqp71Ix5jEXWU,0.659,0.617,0.40208955223880594,0.0649,0.27,119.858,0.187,0.187,1
Early In The Morning,Kris Kross Amsterdam,2R9nfayl1NXhuAdEpwG2Qa,0.786,0.679,0.4707462686567164,0.0339,0.021,104.979,0.0433,0.673,1
Heartbreak Anthem (with David Guetta & Little Mix),Galantis,5K6Ssv4Z3zRvxt0P6EKUAP,0.595,0.784,0.548955223880597,0.102,0.216,124.111,0.0608,0.479,1
Smile,Benjamin Ingrosso,3OUlwrGsM6xGuA66YVpeGT,0.592,0.749,0.35686567164179106,0.0295,0.000618,127.038,0.166,0.799,1
Somebody To You,The Vamps,6VrLYoQKdhu1Jruei06t65,0.526,0.818,0.38865671641791044,0.0358,0.0587,171.96,0.333,0.896,1
Lil Bit,Nelly,0NmuYnjETG3u3qx0OmEJev,0.707,0.689,0.21776119402985072,0.0387,0.0255,119.987,0.383,0.41,1
THATS WHAT I WANT,Lil Nas X,0e8nrvls4Qqv5Rfa2UhqmO,0.737,0.846,0.6038805970149255,0.22,0.00614,87.981,0.0486,0.546,1
Thelma + Louise,Bastille,4UxATpWvXewD5EZUW01EeQ,0.766,0.83,0.7792537313432837,0.1,0.0146,121.948,0.035,0.756,1
Lasting Lover,Sigala,0DmAvNCAK08oCi7miSZUIY,0.676,0.786,0.601044776119403,0.0478,0.197,125.983,0.0943,0.483,1
Anyone,Justin Bieber,31qCy5ZaophVA81wtlwLc4,0.686,0.538,0.07910447761194028,0.0345,0.181,115.884,0.113,0.584,1
Hold On Tight,Aloe Blacc,2xytFpmHqcz6UHp1sh0SoR,0.722,0.59,0.1558208955223881,0.0435,0.0264,104.931,0.0793,0.368,1
Hold You Tonight (with Chris Lane),Gryffin,58jecLK0epwMLr9cy5vFUy,0.467,0.795,0.7397014925373134,0.0687,0.102,163.837,0.264,0.472,1
High Horse (feat. BRELAND and Blanco Brown),Nelly,4XMNF67BLR9zzti9XLVFR7,0.876,0.745,0.7850746268656718,0.0587,0.0164,104.996,0.0798,0.946,1
No One Compares To You,Jack & Jack,2jZIfoe48eUeOEnP9Ho4h2,0.703,0.748,0.3744776119402986,0.0435,0.123,111.943,0.0642,0.625,1
Forever Young,UNDRESSD,1J2EmhjTmHQxLShYQK7Xti,0.594,0.725,0.1986567164179105,0.0293,0.0375,122.983,0.237,0.572,1
So Close,NOTD,7FjZU7XFs7P9jHI9Z0yRhK,0.7,0.872,0.3970149253731343,0.0666,0.121,125.03,0.103,0.761,1
Where Did You Go?,Jax Jones,26KOUSe9W0ZsTxMgNfbmq1,0.774,0.784,0.5980597014925373,0.0351,0.194,127.042,0.293,0.533,1
Be Kind,Zak Abel,5pE4OLVJh5rjaLERbUgBB2,0.929,0.67,0.6834328358208956,0.0488,0.068,120.935,0.318,0.938,1
Sweetest Pie,Megan Thee Stallion,7mFj0LlWtEJaEigguaWqYh,0.814,0.628,0.2056716417910447,0.221,0.167,123.977,0.101,0.677,1
How We Do It (feat. Pia Mia),Sean Paul,1G2J5KdJxNH6Sd0wEclV0P,0.623,0.818,0.736268656716418,0.529,0.143,130.655,0.232,0.729,1
Pepas,Farruko,5fwSHlTEWpluwOM0Sxnh5k,0.762,0.766,0.6867164179104478,0.0343,0.00776,130.001,0.128,0.442,1
Never Really Over,Katy Perry,5PYQUBXc7NYeI1obMKSJK0,0.77,0.882,0.5617910447761195,0.0602,0.194,99.991,0.316,0.385,1
Mariposa,Peach Tree Rascals,4ja2gzrNh9VNigzoXfmbwD,0.676,0.525,0.3994029850746269,0.028,0.617,112.011,0.356,0.421,1
ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,4Sib57MmYGJzSvkW84jTwh,0.614,0.839,0.6586567164179106,0.0702,0.0291,182.123,0.112,0.657,1
Somebody You Like,Felix Jaehn,43IcAhi0JNBOSqMuHonWQx,0.682,0.822,0.6170149253731344,0.0399,0.217,120.02,0.12,0.595,1
Dancing Feet (feat. DNCE),Kygo,4RAR8g8fZNB106ezUurnE0,0.75,0.797,0.5567164179104479,0.118,0.293,105.949,0.392,0.523,1
Just Friends,Virginia To Vegas,02Ygu8lo3qSknRpcBnspso,0.793,0.714,0.14835820895522378,0.193,0.156,100.036,0.136,0.794,1
I Love Me,Demi Lovato,2IHLaN6wwYKQ3S24NsQqpA,0.664,0.561,0.2276119402985075,0.0495,0.00261,150.093,0.0764,0.713,1
Never Love You Again (with Little Big Town & Bryn Christopher),Cheat Codes,676tQQmFrilCR8L7kxRcGd,0.645,0.786,0.4804477611940299,0.0554,0.0343,124.962,0.139,0.597,1
Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur,78nplE9X2ZGvQh3TKgvldE,0.67,0.743,0.5317910447761194,0.0393,0.237,125.944,0.465,0.571,1
Uptown Funk (feat. Bruno Mars),Mark Ronson,32OlwWuMpZ6b0aN2RZOeMS,0.856,0.609,0.19895522388059694,0.0824,0.00801,114.988,0.0344,0.928,1
Good as Hell (feat. Ariana Grande) - Remix,Lizzo,07Oz5StQ7GRoygNLaXs2pd,0.668,0.892,0.8291044776119404,0.0645,0.298,95.927,0.735,0.478,1
My Love,Anna of the North,3akpDdQJUVckqG4r1bmR25,0.674,0.698,0.3261194029850746,0.0288,0.636,105.975,0.172,0.45,1
The Best Days (feat. Tabitha),Sam Feldt,140XpWSdJ0jZEbLj9iVnPA,0.667,0.827,0.43656716417910446,0.0368,0.0863,107.95,0.0565,0.573,1
Hallucination,Regard,7y3c1oJMY1CwwtOZ84Qovu,0.687,0.788,0.5095522388059701,0.0352,0.0121,123.02,0.358,0.669,1
Polaroid,Jonas Blue,1wsLHgXJ4SKIfd5ePSX1hD,0.652,0.897,0.6082089552238806,0.036,0.293,114.033,0.0722,0.475,1
Bigger Than,Justin Jesso,5X73AYzzEE5Di0JwcQKt9N,0.421,0.669,0.5719402985074626,0.127,0.151,175.788,0.635,0.326,1
What A Man Gotta Do,Jonas Brothers,4wNIkl5XGiAACjFBlDWuSd,0.852,0.698,0.20149253731343286,0.0629,0.00839,113.039,0.0773,0.324,1
Forgive Me Friend,Smith & Thell,6LS5QB8GW8raREqEEQPEMs,0.589,0.783,0.37119402985074634,0.0318,0.000927,127.92,0.187,0.622,1
Tick Tock (feat. 24kGoldn),Clean Bandit,27u7t9d7ZQoyjsCROHuZJ3,0.779,0.705,0.6956716417910448,0.0344,0.369,101.022,0.124,0.946,1
Sunshine,OneRepublic,5r43qanLhUCdBj8HN3fa6B,0.697,0.875,0.5873134328358208,0.034,0.137,140.069,0.28,0.774,1
Glorious,Ella Henderson,7xPIlYAQvOubFllPkn8XSL,0.756,0.54,0.4626865671641791,0.125,0.155,108.274,0.0551,0.642,1
Someone,Jubël,68zNuCEl9UHTbcBltW2uDv,0.7,0.904,0.6755223880597016,0.0431,0.0531,103.039,0.105,0.347,1
Way Back Home (feat. Conor Maynard) - Sam Feldt Edit,SHAUN,1ZLrDPgR7mvuTco3rQK8Pk,0.737,0.747,0.5579104477611941,0.0323,0.269,105.943,0.219,0.447,1
Slow Dance (feat. Ava Max) - Sam Feldt Remix,AJ Mitchell,2wenGTypSYHXl1sN1pNC7X,0.732,0.85,0.38164179104477614,0.0444,0.114,124.024,0.0388,0.372,1
What I Like About You (feat. Theresa Rex),Jonas Blue,4NSW0Km5ZG60L8FthUebPJ,0.46,0.8,0.742089552238806,0.05,0.289,102.46,0.121,0.553,1
Lean On Me,Sandro Cavazza,43Hit5V2BpPq2vxvca3ysc,0.799,0.419,0.08447761194029857,0.174,0.412,156.055,0.203,0.716,1
True Colors (feat. Maya Avedis),XO Cupid,4AMY0oGSt7vZwgxDnHCJBr,0.636,0.63,0.32238805970149254,0.0346,0.0796,104.845,0.13,0.454,1
Who's Laughing Now,Ava Max,73h4oe03sZy8bXfQLfnqMv,0.648,0.641,0.45298507462686566,0.0389,0.00565,184.021,0.109,0.505,1
My Way,Aloe Blacc,67CZNsG3SQ1S8O2BsjTo4R,0.619,0.557,0.1634328358208954,0.0433,0.0436,74.007,0.112,0.378,1
2002,Anne-Marie,6SFStUDQZNaGPKWOx9ZiJB,0.697,0.683,0.8470149253731345,0.117,0.0372,96.133,0.137,0.603,1
MONTERO (Call Me By Your Name),Lil Nas X,3BZEcbdtXQSo7OrvKRJ6mb,0.61,0.508,0.27970149253731336,0.152,0.297,178.818,0.384,0.758,1
Take You Dancing,Jason Derulo,59qrUpoplZxbIZxk6X0Bm3,0.789,0.711,0.6429850746268657,0.041,0.0332,112.985,0.0876,0.753,1
Summer Feelings (feat. Charlie Puth) - From 'SCOOB!' The Album,Lennon Stella,49dFIRQCQxPWgoH0m38XQ5,0.696,0.686,0.3646268656716417,0.0309,0.262,115.982,0.174,0.7,1
Savage Love (Laxed - Siren Beat),Jawsh 685,5T490vvoFNU6psep0NPmxs,0.795,0.48,0.0,0.0688,0.243,149.919,0.271,0.723,1
3 outfits,Tai Verdes,78zWCikDMYzFpXAdqANPrD,0.65,0.88,0.6364179104477613,0.15,0.145,176.017,0.351,0.648,1
Beautiful People (feat. Khalid),Ed Sheeran,4evmHXcjt3bTUHD1cvny97,0.64,0.648,0.06611940298507468,0.187,0.124,92.977,0.0802,0.548,1
Can We Pretend (feat. Cash Cash),P!nk,3O0e0LHTpza0rYVDbZfQ4r,0.524,0.806,0.7625373134328358,0.406,0.197,115.172,0.101,0.45,1
Bittersweet Symphony (feat. Emily Roberts),GAMPER & DADONI,6sYJuVcEu4gFHmeTLdHzRz,0.676,0.582,0.14567164179104486,0.128,0.221,124.012,0.515,0.447,1
Lease On Life,Andy Grammer,763ynRN90zLEp9hrNNINjl,0.704,0.701,0.4650746268656716,0.0596,0.0593,88.016,0.126,0.606,1
Follow Me,Sam Feldt,2Xy1UIVfOlukyye6Fd0wrI,0.673,0.729,0.5488059701492538,0.0496,0.083,122.023,0.1,0.675,1
Call You Mine (feat. Bebe Rexha),The Chainsmokers,05CwHjIk71RXVU40boRMnR,0.591,0.702,0.4426865671641792,0.0289,0.225,104.003,0.414,0.501,1
Savage Love (Laxed – Siren Beat) [BTS Remix],Jawsh 685,4TgxFMOn5yoESW6zCidCXL,0.758,0.598,0.42701492537313435,0.0868,0.16,149.836,0.295,0.658,1
"Happy - From ""Despicable Me 2""",Pharrell Williams,5b88tNINg4Q4nrRbrCXUmg,0.647,0.822,0.5811940298507463,0.183,0.219,160.019,0.0908,0.962,1
On Me (feat. Ava Max),Thomas Rhett,7k6tAZp4m93oswrPqSfBbc,0.548,0.721,0.6104477611940299,0.0472,0.0119,177.918,0.216,0.594,1
"You Can't Stop The Girl (From Disney's ""Maleficent: Mistress of Evil"")",Bebe Rexha,1i3z3GR1JtLswOSJNO0BQw,0.394,0.718,0.33134328358208953,0.0607,0.706,151.912,0.116,0.247,1
Dance with Me (feat. Thomas Rhett & Young Thug),Diplo,6AoHQqGnuwFk9ygWhzLRws,0.73,0.792,0.4814925373134329,0.13,0.0264,99.039,0.101,0.745,1
All I Know So Far,P!nk,4LmN3eU1R1vVEdKuDELpGk,0.578,0.639,0.41895522388059714,0.0374,0.0586,108.045,0.0944,0.296,1
Keep You Mine,NOTD,0OJN2A3Qyvd7pwSF0AIteC,0.81,0.788,0.7302985074626867,0.0447,0.267,135.991,0.196,0.845,1
