name,artist,id,danceability,energy,loudness,speechiness,acousticness,tempo,liveness,valence,mood
,,,,,,,,,,,
Dance Monkey,Tones And I,421leiR6jKlH5KDdwLYrOs,0.824,0.592,0.490640063,0.0969,0.693,98.074,0.178,0.54,1
,,,,,,,,,,,
Sunshine,OneRepublic,5r43qanLhUCdBj8HN3fa6B,0.697,0.875,0.690057168,0.034,0.137,140.069,0.28,0.774,1
,,,,,,,,,,,
Forever Young,UNDRESSD,1J2EmhjTmHQxLShYQK7Xti,0.594,0.725,0.398161641,0.0293,0.0375,122.983,0.237,0.572,1
,,,,,,,,,,,
Rasputin,Majestic,0b18g3G5spr4ZCkz7Y6Q0Q,0.758,0.913,0.880058289,0.113,0.00364,128.04,0.193,0.658,1
,,,,,,,,,,,
Run,Becky Hill,6oYXbji1rn7U6bFuNYekpQ,0.601,0.879,0.908418339,0.0353,0.0313,124.013,0.0793,0.589,1
,,,,,,,,,,,
Anyone,Justin Bieber,31qCy5ZaophVA81wtlwLc4,0.686,0.538,0.308373501,0.0345,0.181,115.884,0.113,0.584,1
,,,,,,,,,,,
Bittersweet Symphony (feat. Emily Roberts),GAMPER & DADONI,6sYJuVcEu4gFHmeTLdHzRz,0.676,0.582,0.358367896,0.128,0.221,124.012,0.515,0.447,1
,,,,,,,,,,,
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,1WkMMavIMc4JZ8cfMmxHkI,0.669,0.832,0.566752606,0.0682,0.0106,113.035,0.0968,0.7,1
,,,,,,,,,,,
Sigue,J Balvin,0bBd6K5X4W7t9GyXcaVOA7,0.889,0.641,0.704293241,0.0668,0.0515,87.99,0.19,0.588,1
,,,,,,,,,,,
All Night Long (All Night) - Recorded at Spotify Studios Stockholm,Benjamin Ingrosso,5LKNumPGm1bEyVroDE4rcZ,0.649,0.718,0.412061428,0.0506,0.0106,112.049,0.117,0.715,1
,,,,,,,,,,,
My Way (Steve Aoki & Aloe Blacc),Steve Aoki,0FJw1Pg9xXCxbcyQMI6GAe,0.585,0.82,0.711691514,0.0774,0.11,169.895,0.134,0.396,1
,,,,,,,,,,,
Keep You Mine,NOTD,0OJN2A3Qyvd7pwSF0AIteC,0.81,0.788,0.797444233,0.0447,0.267,135.991,0.196,0.845,1
,,,,,,,,,,,
Learn To Fly,Surfaces,518miTxc3a15X7HB8FgJUW,0.569,0.536,0.520121063,0.0819,0.554,173.695,0.0655,0.656,1
,,,,,,,,,,,
My Way,Aloe Blacc,67CZNsG3SQ1S8O2BsjTo4R,0.619,0.557,0.371707208,0.0433,0.0436,74.007,0.112,0.378,1
,,,,,,,,,,,
Beautiful People (feat. Khalid),Ed Sheeran,4evmHXcjt3bTUHD1cvny97,0.64,0.648,0.298621231,0.187,0.124,92.977,0.0802,0.548,1
,,,,,,,,,,,
Tick Tock (feat. 24kGoldn),Clean Bandit,27u7t9d7ZQoyjsCROHuZJ3,0.779,0.705,0.77143818,0.0344,0.369,101.022,0.124,0.946,1
,,,,,,,,,,,
